comentarios,source,fecha,tiene_groseria,comentarios_censurados,etiqueta,etiqueta_predicha,relevancia
"“Seguir caminando hacia el presente y hacia el mañana” 
… See more",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"“Seguir caminando hacia el presente y hacia el mañana” 
… See more",neutral,neutral,2.2824868998078918
"Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6",positivo_sugerencia,neutral,2.333333333333333
"Ana G Salinas
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Ana G Salinas
#RTPSiempreContigo",neutral,neutral,1.729942296193727
"¡Ya es #viernes! 
 … Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"¡Ya es #viernes! 
 … Ver más",neutral,neutral,2.187632406384922
"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros. 
Ho… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros. 
Ho… Ver más",neutral,neutral,3.762591422674418
"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En lo que va del año, la flotilla Leona Vicario ha transportado a más de 2 millones de pasajeros.",neutral,neutral,3.49657988742083
Ho… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Ho… Ver más,neutral,neutral,1.6661475390638096
"Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar?",neutral,neutral,3.029605312551953
"Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral,3.708725148041148
"Este 8 de abril, recordamos el legado de #Ruta100, su auge llegó en los años 80s con estos vehículos color amarillo con café que recorrieron colonias del entonces Distr… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Este 8 de abril, recordamos el legado de #Ruta100, su auge llegó en los años 80s con estos vehículos color amarillo con café que recorrieron colonias del entonces Distr… Ver más",neutral,neutral,4.232975375972552
"El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral,5.376025334156733
"La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido 
.… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido 
.… Ver más",neutral,neutral,3.671500983149041
"Esta mañana, en compañía de personal de la 
Secretaría de Movilidad CDMX
 y de #MIRTP 
 iniciamos con la prueba piloto para el inicio de un nuevo recorrido: Ruta 3, la cu… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Esta mañana, en compañía de personal de la 
Secretaría de Movilidad CDMX
 y de #MIRTP 
 iniciamos con la prueba piloto para el inicio de un nuevo recorrido: Ruta 3, la cu… Ver más",neutral,neutral,4.140002493777804
#MásMovilidad cómoda con #MIRTP … Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#MásMovilidad cómoda con #MIRTP … Ver más,neutral,neutral,1.98575737940588
Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente.,neutral,neutral,5.329971878470504
"Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.",neutral,neutral,4.065727469060853
"Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,3.5776505022762346
"¡Buenos días por la mañana! 
… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"¡Buenos días por la mañana! 
… Ver más",positivo_sugerencia,neutral,2.403279797070317
"Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área 
N… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área 
N… Ver más",neutral,neutral,3.3606415924057043
Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Para el funcionamiento de este organismo es esencial la suma de esfuerzos de cada área,neutral,neutral,3.094001508471309
N… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,N… Ver más,neutral,neutral,1.4128814990556655
Eso es publicidad,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Eso es publicidad,neutral,neutral,1.6873598770063252
El CC de universidad,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,El CC de universidad,neutral,neutral,1.4100735370475164
Es de lo más nefasto … Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Es de lo más nefasto … Ver más,neutral,neutral,2.1390530546184454
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.,neutral,neutral,3.687399790079517
#RTPaSuServicio,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#RTPaSuServicio,neutral,neutral,1.0
"Aviso importante 
… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Aviso importante 
… Ver más",neutral,neutral,1.9348803820199283
"En #MIRTP trabajamos para brindarte la mejor experiencia 
#… Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"En #MIRTP trabajamos para brindarte la mejor experiencia 
#… Ver más",positivo_sugerencia,neutral,2.7470973078721777
En #MIRTP trabajamos para brindarte la mejor experiencia,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,En #MIRTP trabajamos para brindarte la mejor experiencia,positivo_sugerencia,neutral,2.39973933068638
#… Ver más,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,#… Ver más,neutral,neutral,1.4128814990556655
Cloro unidades limpias bonitas operadores respetuosos genial.....,rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,Cloro unidades limpias bonitas operadores respetuosos genial.....,neutral,neutral,2.63970631986426
"Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral,1.729942296193727
"Recuerda que la #TarjetaMI 
 es tu pase de acceso a #MIRTP … Ver más",rtp_cdmx_comentarios_20250413_003502.csv,2025-04-18,False,"Recuerda que la #TarjetaMI 
 es tu pase de acceso a #MIRTP … Ver más",neutral,neutral,3.0296527987115343
"Ana G Salinas: Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6 || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ana G Salinas
#RTPSiempreContigo",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ana G Salinas: Excelente compañero !!! Dedicado , respetuoso y excelente operador!!!! M6 || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ana G Salinas
#RTPSiempreContigo",positivo_sugerencia,neutral,3.479530537785425
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Ya es #viernes!,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Ya es #viernes!,neutral,neutral,2.9499192916163066
RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México || Seguir: · 10 de abr,rtp_cdmx_datos_20250412_200543.csv,10 de abr,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México || Seguir: · 10 de abr,neutral,neutral,3.3009048606280738
"Rogelio HuAl: Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar? || Liz Soria: Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Rogelio HuAl: Al rato sacarán la flotilla Shakira, Paquita la del barrio y flotilla Ángela Aguilar? || Liz Soria: Rogelio HuAl
jajajaja déjate de eso ojalá ya los reemplacen porque ya están dando sus últimos kilómetros.",neutral,neutral,4.87961926383269
¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,rtp_cdmx_datos_20250412_200543.csv,9 de abr,False,¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,neutral,neutral,3.729637551239193
🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻 || RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,rtp_cdmx_datos_20250412_200543.csv,9 de abr,False,🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻 || RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original: RTP - Red de Transporte de Pasajeros de la Ciudad de México · Audio original || RTP - Red de Transporte de Pasajeros de la Ciudad de México: · 9 de abr,neutral,neutral,3.8832435672171615
"Jose Villa: El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Jose Villa: El legado de ruta 100 con un parque vehicular casi de 5100 unidades entre las cuales estaban los delfines, metrobuses, moyada, somex, boxers, prototipos garantizaban un intervalo de 4 minutos entre unidades y si te ganaba la unidad te esperabas ese tie… Ver más",neutral,neutral,5.558789214989156
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 274: 43 veces compartido,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 274: 43 veces compartido,neutral,neutral,4.571852691538426
"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 39 veces compartido",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 39 veces compartido",neutral,neutral,4.528826144873264
"Ing Miguel Borita: Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente. || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ing Miguel Borita: Su servicio de la ruta 9C Puerta Grande - CC Santa Fe esta sobrepasado. Filas de hasta 200 personas esperando RTP a las 6 am. Han llegado hasta 3 Camiones y los 3 se super llenan. Y aun asi sigue llegando mucha gente. || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Ing Miguel Borita
Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,7.551520411355009
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana! || 109: 3 veces compartido,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana! || 109: 3 veces compartido,positivo_sugerencia,neutral,3.4983895944888648
"Ignacio Tellez: Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Ignacio Tellez: Eso es publicidad
El CC de universidad
Es de lo más nefasto … Ver más || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Le informamos que el personal responsable tiene conocimiento de su reporte y se están tomando las acciones pertinentes.
Adicionalmente, para darle continuidad personalizada a esta situación compartimos el SUAC: http://bit.ly/suacCDMX",neutral,neutral,6.4937452493277545
RTP - Red de Transporte de Pasajeros de la Ciudad de México: #RTPaSuServicio || Héctor Ulises García Nieto: Aviso importante,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: #RTPaSuServicio || Héctor Ulises García Nieto: Aviso importante,neutral,neutral,3.172153096895792
"Lolyta Gonzalez: Cloro unidades limpias bonitas operadores respetuosos genial..... || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Lolyta Gonzalez
#RTPSiempreContigo",rtp_cdmx_datos_20250412_200543.csv,No disponible,False,"Lolyta Gonzalez: Cloro unidades limpias bonitas operadores respetuosos genial..... || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Lolyta Gonzalez
#RTPSiempreContigo",neutral,neutral,3.668635129872763
RTP - Red de Transporte de Pasajeros de la Ciudad de México: Recuerda que la #TarjetaMI,rtp_cdmx_datos_20250412_200543.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: Recuerda que la #TarjetaMI,neutral,neutral,2.872054791012773
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 275: 43 veces compartido,rtp_cdmx_datos_20250412_210737.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido || 275: 43 veces compartido,neutral,neutral,4.571852691538426
No hay comentarios,rtp_cdmx_datos_20250412_213018.csv,10 de abr,False,No hay comentarios,neutral,neutral,1.3993849727273473
¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México,rtp_cdmx_datos_20250412_213018.csv,9 de abr,False,¡Buenas noticias para las y los vecinos del oriente de la Ciudad de México! ☀️: RTP - Red de Transporte de Pasajeros de la Ciudad de México,neutral,neutral,3.32603934675136
🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻,rtp_cdmx_datos_20250412_213018.csv,9 de abr,False,🚫 NO RAYES LAS UNIDADES 🚫: Cuidar la unidades es responsabilidad de todas y todos 🤝🏻,neutral,neutral,2.685811986866228
RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido,rtp_cdmx_datos_20250412_213018.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: La Nueva Ruta Piloto de #MIRTP cuenta con paradas exclusivas a lo largo de su recorrido,neutral,neutral,4.144787739991118
"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 226 226",rtp_cdmx_datos_20250412_213018.csv,No disponible,False,"RTP - Red de Transporte de Pasajeros de la Ciudad de México: Esta mañana, en compañía de personal de la || Secretaría de Movilidad CDMX: y de #MIRTP || RTP - Red de Transporte de Pasajeros de la Ciudad de México: Organización gubernamental || Enviar mensaje: 226 226",neutral,neutral,4.16805984090211
RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana!,rtp_cdmx_datos_20250412_213018.csv,No disponible,False,RTP - Red de Transporte de Pasajeros de la Ciudad de México: ¡Buenos días por la mañana!,positivo_sugerencia,neutral,3.0899533180150103
¡Qué tu día sea tan súper como nuestras ofertas!   Visita 7-Eleven y descubre más promos en tus antojos favoritos.,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,¡Qué tu día sea tan súper como nuestras ofertas!   Visita 7-Eleven y descubre más promos en tus antojos favoritos.,neutral,neutral,3.6909842238822654
que día están??,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,que día están??,neutral,neutral,1.6655013061676014
Y esa jitomata que hace en la tribuna???? Jajajajajajaj,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Y esa jitomata que hace en la tribuna???? Jajajajajajaj,neutral,neutral,1.924242508976728
Hola como puedo platicar con la licenciada clara brugada?,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Hola como puedo platicar con la licenciada clara brugada?,neutral,neutral,2.401308015036673
Actualmente es un tianguis de productos chinos.,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Actualmente es un tianguis de productos chinos.,neutral,neutral,2.156606161684242
3 pesos de sombra / árboles que les sobren para ponerlos en el zócalo,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,3 pesos de sombra / árboles que les sobren para ponerlos en el zócalo,neutral,neutral,2.9035076647471576
Darán la peor versión de México y de la CDMX,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Darán la peor versión de México y de la CDMX,negativo,neutral,1.9349885270567189
Deberían dejarnos llevar a nuestro perrito al trabajo tmb,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Deberían dejarnos llevar a nuestro perrito al trabajo tmb,neutral,neutral,2.424197577287299
La explanada del Zócalo y Madero ya son un tianguis. Pero pues pagan $300 diarios en efectivo y un pago por temporada de $25 000 el m2 por puesto…cuánto le hacen llegar al @GobCDMX ?,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,La explanada del Zócalo y Madero ya son un tianguis. Pero pues pagan $300 diarios en efectivo y un pago por temporada de $25 000 el m2 por puesto…cuánto le hacen llegar al @GobCDMX ?,neutral,neutral,4.386799030056084
Cuidado con los excesos,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Cuidado con los excesos,neutral,neutral,1.348221121253126
Que el director del Metro asista al Zócalo ciudadano,rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,Que el director del Metro asista al Zócalo ciudadano,neutral,neutral,2.555069684807995
"Buscaban su magia y poder curativo, pero nunca esperaron que fueran criaturas tan peligrosas. #LaMuerteDeUnUnicornio 
Con Paul Rudd, Jenna Ortega, Will Pouter, Téa Leoni y Richard E Grant.
Estreno 5 de junio, solo en cines.",rtp_cdmx_respuestas_20250418_005746.csv,2025-04-18,False,"Buscaban su magia y poder curativo, pero nunca esperaron que fueran criaturas tan peligrosas. #LaMuerteDeUnUnicornio 
Con Paul Rudd, Jenna Ortega, Will Pouter, Téa Leoni y Richard E Grant.
Estreno 5 de junio, solo en cines.",neutral,neutral,4.02348519320318
